COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM_15;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;REGION2016;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;211;2004;9;25;011;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;B;Z;Z;Z;ZZ;1;1;Z;Z;1;6;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;4.21709488957678;1;M;02;9;11;11;2;ZZ;1;B;22;5;25;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2002;9;25;012;03;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;C;Z;Z;Z;16;1;1;Z;1;1;6;0;2;2;2;2;2;2;0;0;2;0;1;4;1;3;1;1;3.06676214624127;1;M;04;Z;11;11;2;ZZ;1;A;30;5;11;1;1;770291;3;2;1;Z
77288;ZZZZZ;772880101;212;2000;9;65;015;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;0;0;0;5;1;0;2;1;0;0;3;5;2;3;3;0;4.21709488957678;1;M;05;0;11;11;1;ZZ;1;A;22;4;21;Z;Z;770291;3;2;3;Z
77288;ZZZZZ;772880101;211;2002;9;55;012;03;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;B;Z;Z;Z;16;2;1;Z;2;2;2;0;1;1;1;2;1;1;2;0;1;0;2;3;2;1;1;0;3.06676214624127;3;M;03;Z;11;11;2;ZZ;1;B;22;4;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2004;9;80;011;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;C;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;0;0;0;2;0;0;2;2;0;1;0;2;1;1;0;1;4.21709488957678;1;M;02;0;11;11;2;ZZ;1;A;22;2;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;1999;8;40;015;03;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;C;Z;Z;Z;16;1;1;Z;1;2;4;1;1;2;2;3;3;1;0;0;1;0;3;5;3;2;2;1;3.06676214624127;1;M;04;Z;11;11;2;ZZ;1;A;22;4;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;212;2011;9;55;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;4;2;0;1;0;0;0;2;4;2;2;1;0;4.21709488957678;1;M;05;0;11;11;2;ZZ;1;A;22;4;25;Z;Z;770291;3;2;2;Z
77288;ZZZZZ;772880101;211;2007;9;25;007;02;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;16;2;1;Z;1;1;6;0;1;1;1;2;1;1;0;0;1;0;1;3;2;1;1;0;3.06676214624127;1;M;04;Z;11;11;2;ZZ;1;A;22;5;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2014;9;55;001;00;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;6;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;4.21709488957678;3;M;02;9;11;11;2;ZZ;2;B;22;3;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;2002;9;55;012;03;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;D;Z;Z;Z;16;1;1;Z;2;2;1;1;0;0;0;2;1;0;1;0;0;0;1;2;0;2;1;1;3.06676214624127;1;M;04;Z;11;11;2;ZZ;2;B;22;4;11;1;2;770291;3;2;0;Z
